Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Linkedin,Unique Segmento,Contagem de Segmento,Top Segmentos,
Lojas Torra,MAGAZINE TORRA TORRA LTDA,22.685.030/0001-11,"658,770,000.00",100 milhões – 1 bilhão,"Lojas de departamentos ou magazines, exceto lojas francas","5,724.00",5001-10000,Brazil,[{'job_industry_list': {'industry': 'Retail'}}],['Other'],https://www.linkedin.com/company/lojastorra,"Lojas de departamentos ou magazines, exceto lojas francas",1,********,211
Exati,EXATI TECNOLOGIA E DESENVOLVIMENTO DE SISTEMAS LTDA,18.434.112/0001-16,"1,000,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador customizáveis,171.00,51–200,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Education and Training'],https://www.linkedin.com/company/exati-tecnologia,Desenvolvimento e licenciamento de programas de computador customizáveis,13,Desenvolvimento e licenciamento de programas de computador não-customizáveis,14
Akross,AKROSS PLATAFORMAS TECNOLOGICAS E SERVICOS LTDA.,32.275.954/0001-01,"500,000.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,149.00,51–200,"Rio de Janeiro, Rio de Janeiro, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/akross,Desenvolvimento de programas de computador sob encomenda,13,Desenvolvimento e licenciamento de programas de computador customizáveis,13
Passarelli,PASSARELLI ENGENHARIA E CONSTRUCAO LTDA.,60.625.829/0001-01,"58,378,065.50",10 – 100 milhões,Outras obras de engenharia civil não especificadas anteriormente,"1,188.00",1001-5000,"Campinas, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Construction'}}],['Other'],https://www.linkedin.com/company/passarelliec,Outras obras de engenharia civil não especificadas anteriormente,1,Desenvolvimento de programas de computador sob encomenda,13
BeFly,BEFLY TRAVEL PARTICIPACOES S/A,00.168.403/0001-44,"658,905,262.00",100 milhões – 1 bilhão,Holdings de instituições não-financeiras,"2,498.00",1001-5000,Brazil,[{'job_industry_list': {'industry': 'Travel Arrangements'}}],['Other'],https://www.linkedin.com/company/beflyoficial,Holdings de instituições não-financeiras,7,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",10
Sallve,SALLVE COMERCIO DE COSMETICOS LTDA.,32.124.385/0001-95,"133,613,112.00",100 milhões – 1 bilhão,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",211.00,201–500,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Personal Care Product Manufacturing'}}],"['Marketing, Public Relations, and Writing/Editing']",https://www.linkedin.com/company/sallve,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",2,Agências de viagens,8
LeCupon,LECUPON S.A.,26.989.697/0001-69,"510,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,82.00,51–200,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Project Management and Information Technology'],https://www.linkedin.com/company/alloyalfidelidade,Desenvolvimento e licenciamento de programas de computador não-customizáveis,14,Consultoria em tecnologia da informação,8
ESSS,ENGINEERING SIMULATION AND SCIENTIFIC SOFTWARE LTDA,00.796.437/0001-83,"734,520.00",100 mil – 1 milhão,Serviços de engenharia,387.00,201–500,"Florianópolis, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Education and Training'],https://www.linkedin.com/company/esss,Serviços de engenharia,4,Holdings de instituições não-financeiras,7
Bernhoeft,GRT AUDITORIA DE TERCEIROS LTDA,26.852.688/0002-02,"4,300,000.00",1 – 10 milhões,Atividades de consultoria e auditoria contábil e tributária,833.00,501–1000,"Recife, Pernambuco, Brazil",[{'job_industry_list': {'industry': 'Accounting'}}],['Other'],https://www.linkedin.com/company/bernhoeft-contadores,Atividades de consultoria e auditoria contábil e tributária,1,Treinamento em desenvolvimento profissional e gerencial,7
Vetta,VETTA TECNOLOGIA S.A.,19.478.102/0001-45,"7,029,104.67",1 – 10 milhões,Desenvolvimento de programas de computador sob encomenda,317.00,201–500,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/vettadigital,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",2,Atividades de contabilidade,6
Ollie,OLLIE COSMETICOS LTDA,32.233.064/0001-29,"120,000.00",100 mil – 1 milhão,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",219.00,201–500,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Personal Care Product Manufacturing'}}],['Other'],https://www.linkedin.com/company/meuollie,,0,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",5
Vivian Festas,RFC COMERCIO DE MIUDEZAS LTDA,26.514.797/0001-39,"100,000.00",Até 100 mil,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",392.00,201–500,"Barra, Bahia, Brazil",[{'job_industry_list': {'industry': 'Administrative and Support Services'}}],['Administrative'],https://www.linkedin.com/company/vivian-festas,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",5,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",5
Tax.Co,,NÃO ENCONTRADO,,Até 100 mil,,190.00,51–200,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Accounting'}}],['Other'],https://www.linkedin.com/company/taxcobr,Comércio varejista de livros,1,Atividades de consultoria em gestão empresarial,5
Omie,OMIEXPERIENCE LTDA.,18.511.742/0001-47,"367,881,651.00",100 milhões – 1 bilhão,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet","1,578.00",1001-5000,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/omie,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",10,Serviços de engenharia,4
Conexia Educação,CONEXIA EDUCACAO S.A.,12.669.046/0001-87,"128,027,754.00",100 milhões – 1 bilhão,Comércio varejista de livros,186.00,51–200,"Ribeirão Preto, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Other'],https://www.linkedin.com/company/conexiaeducacao,Agências de publicidade,3,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,4
Construmarket,E-CONSTRUMARKET TECNOLOGIA E SERVICOS S.A.,03.706.177/0001-04,"11,566,000.00",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,211.00,201–500,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],"['Research, Analyst, and Information Technology']",https://www.linkedin.com/company/construmarketoficial,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",1,Educação superior - graduação e pós-graduação,4
Flytour,BEFLY TRAVEL PARTICIPACOES S/A,00.168.403/0001-44,"658,905,262.00",100 milhões – 1 bilhão,Holdings de instituições não-financeiras,"1,172.00",1001-5000,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],"['Consulting, Information Technology, and Sales']",https://www.linkedin.com/company/flytour,Serviços advocatícios,2,Seleção e agenciamento de mão-de-obra,4
Familhão,FAMILHAO ENGAJAMENTO E INTERMEDIACAO S.A.,49.520.113/0001-07,"30,624,806.36",10 – 100 milhões,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",83.00,51–200,"Barueri, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/familhao,Locação de mão-de-obra temporária,2,Agências de publicidade,3
Artplan,ARTPLAN COMUNICACAO S/A,33.673.286/0001-25,"22,744,287.16",10 – 100 milhões,Agências de publicidade,564.00,501–1000,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Public Relations and Communications Services'}}],['Other'],https://www.linkedin.com/company/artplan,Comércio atacadista de equipamentos de informática,2,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3
Aprova,APROVA DIGITAL S/A,24.757.040/0001-40,"24,949,997.00",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,222.00,201–500,"Cascavel, Paraná, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Sales and Management'],https://www.linkedin.com/company/aprovadigital,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,4,Serviços combinados de escritório e apoio administrativo,3
Shift,SHIFT CONSULTORIA E SISTEMAS LTDA,67.190.660/0001-53,"150,000.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,328.00,201–500,"São José do Rio Preto, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/shift-pulsa-pela-vida,Agências de viagens,8,"Portais, provedores de conteúdo e outros serviços de informação na internet",3
Shoulder,SHOULDER S.A.,43.470.566/0001-90,"19,036,404.20",10 – 100 milhões,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida","1,432.00",1001-5000,"Rio de Janeiro, Rio de Janeiro, Brazil",[{'job_industry_list': {'industry': 'Retail'}}],['Purchasing and Supply Chain'],https://www.linkedin.com/company/shoulder,Educação superior - graduação e pós-graduação,4,Gestão de ativos intangíveis não-financeiros,3
Lacerda Diniz Machado,LACERDA DINIZ ADVOGADOS,03.119.862/0001-26,"22,000.00",Até 100 mil,Serviços advocatícios,232.00,201–500,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Legal Services'}}],['Education and Training'],https://www.linkedin.com/company/lacerdadinizmachado,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",2
Egis,EGIS - ENGENHARIA E CONSULTORIA LTDA.,44.239.135/0005-03,"98,461,916.00",10 – 100 milhões,Serviços de engenharia,"13,160.00",+10000,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Transportation/Trucking/Railroad'}}],['Other'],https://www.linkedin.com/company/egis,Comércio varejista especializado de equipamentos e suprimentos de informática,2,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",2
Work On,WORK ON PEOPLE SERVICOS LTDA,11.828.071/0001-01,"440,000.00",100 mil – 1 milhão,Locação de mão-de-obra temporária,"1,972.00",1001-5000,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Sales and Business Development'],https://www.linkedin.com/company/workongroup,Atividades de fisioterapia,1,Serviços advocatícios,2
Connectoway,CONNECTOWAY SOLUCOES INTELIGENTES EM TECNOLOGIA S.A,03.822.909/0001-13,"23,380,000.00",10 – 100 milhões,Comércio atacadista de equipamentos de informática,167.00,51–200,"Recife, Pernambuco, Brazil",[{'job_industry_list': {'industry': 'Telecommunications'}}],['Other'],https://www.linkedin.com/company/connectoway-solu%c3%a7%c3%b5es,Outras atividades de serviços pessoais não especificadas anteriormente,1,Locação de mão-de-obra temporária,2
Grafeno,GRAFENO PAGAMENTOS LTDA.,32.087.027/0001-50,"2,747,324.00",1 – 10 milhões,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,225.00,201–500,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Banking'}}],['Other'],https://www.linkedin.com/company/grafenodigital,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",1,Comércio atacadista de equipamentos de informática,2
All Set Comunicação,3C DESENVOLVIMENTO DE SOLUCOES LTDA,17.570.721/0001-30,"120,000.00",100 mil – 1 milhão,Agências de publicidade,191.00,51–200,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/all-set-comunica%c3%a7%c3%a3o,Treinamento em desenvolvimento profissional e gerencial,7,Comércio varejista especializado de equipamentos e suprimentos de informática,2
Booksy,BOOKSY BRASIL LTDA,24.961.182/0001-25,"894,848.00",100 mil – 1 milhão,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",944.00,501–1000,"São Paulo, Brazil",[{'job_industry_list': {'industry': 'Internet Marketplace Platforms'}}],['Sales and Business Development'],https://www.linkedin.com/company/booksy,Comércio por atacado de peças e acessórios novos para veículos automotores,1,Marketing direto,2
Reservia,FLY PACK OPERADORA DE TURISMO LTDA,04.470.074/0001-42,"6,832,438.00",1 – 10 milhões,Agências de viagens,24.00,11–50,Brazil,[{'job_industry_list': {'industry': 'Travel Arrangements'}}],['Sales and Business Development'],https://www.linkedin.com/company/reservia-befly,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,1,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",2
Belvitur,,NÃO ENCONTRADO,,Até 100 mil,,174.00,51–200,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],['Business Development and Sales'],https://www.linkedin.com/company/belvitur,Consultoria em tecnologia da informação,8,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",2
Swile,,NÃO ENCONTRADO,,Até 100 mil,,697.00,501–1000,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Finance and Sales'],https://www.linkedin.com/company/swile,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",1,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",2
BPO4u,,NÃO ENCONTRADO,,Até 100 mil,,17.00,11–50,"Florianópolis, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Accounting'}}],['Other'],https://www.linkedin.com/company/bpo4u,"Comércio atacadista de artigos de cama, mesa e banho",1,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,2
I-Systems,I.SYSTEMS AUTOMACAO INDUSTRIAL S.A.,08.998.654/0001-68,"26,780,662.50",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,239.00,201–500,"Rio de Janeiro, Rio de Janeiro, Brazil",[{'job_industry_list': {'industry': 'Telecommunications'}}],"['Consulting, Information Technology, and Sales']",https://www.linkedin.com/company/ihs-i-systems,Fabricação de estruturas metálicas,1,Comércio varejista especializado de equipamentos de telefonia e comunicação,2
Join LinkedIn,REHAGRO - RECURSOS HUMANOS NO AGRONEGOCIO S.A.,05.473.134/0001-43,"21,508,761.00",10 – 100 milhões,Educação superior - graduação e pós-graduação,Não encontrado,+10000,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Education'}}],['Sales'],https://www.linkedin.com/school/rehagro/,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",5,Comércio atacadista de energia elétrica,2
Hect,HORMIGON HECT ENGENHARIA LTDA,07.247.201/0001-37,"500,000.00",100 mil – 1 milhão,Serviços de engenharia,105.00,51–200,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Accounting/Auditing'],https://www.linkedin.com/company/hectconsultoria,Marketing direto,2,Corretagem na compra e venda e avaliação de imóveis,2
INFLOR,INFLOR CONSULTORIA E SISTEMAS LTDA,04.643.363/0001-04,"200,000.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,128.00,51–200,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/inflor,Distribuidoras de títulos e valores mobiliários,1,"Lojas de departamentos ou magazines, exceto lojas francas",1
Cidadania Já,CJA - ASSESSORIA E PREPARACAO DE DOCUMENTOS LTDA.,27.759.269/0001-02,"15,000.00",Até 100 mil,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",207.00,201–500,"Rio de Janeiro, Rio de Janeiro, Brazil",[{'job_industry_list': {'industry': 'Consumer Services'}}],['Human Resources'],https://www.linkedin.com/company/cidadaniaja,Conservação de florestas nativas,1,Outras obras de engenharia civil não especificadas anteriormente,1
Redesul,REDE SUL DE LOGISTICA S/A,27.221.173/0001-96,"250,040.00",100 mil – 1 milhão,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",47.00,11–50,"Florianópolis, Santa Catarina, Brazil","[{'job_industry_list': {'industry': 'Health, Wellness & Fitness'}}]",['Customer Service'],https://www.linkedin.com/company/redesulsaude,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios",2,Atividades de consultoria e auditoria contábil e tributária,1
Software.com.br,SOFTWARE.COM.BR TECNOLOGIA E CONSULTORIA LTDA.,09.240.519/0001-11,"100,000.00",Até 100 mil,Comércio varejista especializado de equipamentos e suprimentos de informática,95.00,51–200,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],[],https://www.linkedin.com/company/software-tecnologia,Serviços combinados de escritório e apoio administrativo,3,Comércio varejista de livros,1
Agrotis,AGROTIS AGROINFORMATICA S/A,82.413.816/0001-01,"3,000,000.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador customizáveis,296.00,201–500,"Curitiba, Paraná, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Engineering and Information Technology'],https://www.linkedin.com/company/softwareagrotis,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",2,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",1
TrueChange,TRUE CHANGE TECNOLOGIA LTDA,14.467.292/0001-81,"500,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,221.00,201–500,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/truechange,Obras de montagem industrial,1,Atividades de fisioterapia,1
iugu,IUGU INSTITUICAO DE PAGAMENTO S.A.,15.111.975/0001-64,"129,763,081.79",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,311.00,201–500,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Financial Services'}}],['Legal'],https://www.linkedin.com/company/iugu,Comércio varejista de material elétrico,1,Outras atividades de serviços pessoais não especificadas anteriormente,1
Sanus,SANUS ATENDIMENTO EM SAUDE E QUALIDADE DE VIDA LTDA,32.743.736/0001-46,"100,000.00",Até 100 mil,Atividades de fisioterapia,57.00,51–200,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Public Health'}}],['Other'],https://www.linkedin.com/company/sanus-tech,Provedores de acesso às redes de comunicações,1,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",1
Casa Prado,CASA PRADO E COMERCIO E CONFECCOES LTDA,03.464.153/0001-88,0.00,Até 100 mil,Outras atividades de serviços pessoais não especificadas anteriormente,95.00,51–200,"Mato Grosso, Brazil",[{'job_industry_list': {'industry': 'Retail Apparel and Fashion'}}],['Sales'],https://www.linkedin.com/company/casaprado,Comércio atacadista de madeira e produtos derivados,1,Comércio por atacado de peças e acessórios novos para veículos automotores,1
Eletromidia,ELETROMIDIA S.A.,09.347.516/0001-81,"257,809,216.48",100 milhões – 1 bilhão,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",868.00,501–1000,"Cuiabá, Mato Grosso, Brazil",[{'job_industry_list': {'industry': 'Advertising Services'}}],['Management and Manufacturing'],https://www.linkedin.com/company/eletromidia,Serviços de reservas e outros serviços de turismo não especificados anteriormente,1,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,1
Join LinkedIn,CSA TECNOLOGIA E TREINAMENTOS LTDA,28.822.852/0001-83,"99,800.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,Não encontrado,+10000,"Jundiaí, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Other'],https://www.linkedin.com/school/csacademy-br/,Atividades de consultoria em gestão empresarial,5,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",1
Atlas Governance,ATLAS GOVERNANCE TECNOLOGIA LTDA,25.462.636/0001-86,"38,577,879.25",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,192.00,51–200,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/atlas-governance,Comércio atacadista de soja,1,"Comércio atacadista de artigos de cama, mesa e banho",1
Fluencypass,,NÃO ENCONTRADO,,Até 100 mil,,84.00,51–200,"São Bernardo do Campo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Education'}}],['Other'],https://www.linkedin.com/company/fluencypass,********,211,Fabricação de estruturas metálicas,1
