Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
Cyrela,CYRELA BRAZIL REALTY S.A. EMPREENDIMENTOS E PARTICIPACOES,73.178.600/0001-18,"3,685,000,000.00",Acima de 1 bilhão,Incorporação de empreendimentos imobiliários,5401,5001-10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Civil Engineering'}}],['Other'],Comércio a varejo de peças e acessórios novos para veículos automotores,1,Outras atividades de atenção à saúde humana não especificadas anteriormente,1
Certisign,CERTISIGN CERTIFICADORA DIGITAL S.A,01.554.285/0001-75,"63,878,609.50",10 – 100 milhões,Desenvolvimento de programas de computador sob encomenda,626,501–1000,"São Paulo, SP",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],"Sociedades de crédito, financiamento e investimento - financeiras",1,Reparação e manutenção de equipamentos de comunicação,1
Modular Data Centers,MODULAR DATA CENTERS INDUSTRIA COMERCIO E SERVICOS S.A.,08.061.365/0001-38,"58,859,305.00",10 – 100 milhões,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,709,501–1000,,[{'job_industry_list': {'industry': 'Automation Machinery Manufacturing'}}],['Other'],Corretoras de títulos e valores mobiliários,2,Serviços de comunicação multimídia - SCM,1
Studio Z,CALCENTER - CALCADOS CENTRO-OESTE LTDA,15.048.754/0001-99,"60,000,000.00",10 – 100 milhões,Comércio varejista de calçados,3045,1001-5000,"Florianópolis, Santa Catarina",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal",1,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",1
PagBank,PAGSEGURO INTERNET INSTITUICAO DE PAGAMENTO S.A.,08.561.701/0001-01,"4,678,580,151.90",Acima de 1 bilhão,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,8902,5001-10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Financial Services'}}],['Sales and Business Development'],Comércio varejista especializado de equipamentos e suprimentos de informática,5,Bancos comerciais,1
Sicredi,CONFEDERACAO DAS COOPERATIVAS DO SICREDI - CONFEDERACAO SICREDI,03.795.072/0001-60,0,Até 100 mil,Serviços combinados de escritório e apoio administrativo,19636,+10000,"Porto Alegre, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Financial Services'}}],['Administrative'],Construção de edifícios,4,Terminais rodoviários e ferroviários,1
Votorantim Cimentos,VOTORANTIM CIMENTOS S.A.,01.637.895/0001-32,"7,708,353,218.00",Acima de 1 bilhão,Fabricação de cimento,9247,5001-10000,São Paulo,[{'job_industry_list': {'industry': 'Civil Engineering'}}],['Other'],Frigorífico - abate de bovinos,1,Comércio varejista de materiais de construção não especificados anteriormente,1
CI&T,MJV TECNOLOGIA & INOVACAO LTDA,05.940.894/0001-13,"250,000.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,7366,5001-10000,"New York, NY",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",1,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,1
abler Vagas,Não encontrado,NÃO ENCONTRADO,Não encontrado,Acima de 1 bilhão,Não encontrado,2,0–10,,"[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Education and Training'],Comércio atacadista de equipamentos de informática,2,Serviços de assistência social sem alojamento,1
Beemôn Tecnologia,BEEMON TECNOLOGIA LTDA,48.496.171/0001-80,"100,000.00",Até 100 mil,Desenvolvimento de programas de computador sob encomenda,21,11–50,"Caxias do Sul, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Internet Publishing'}}],['Information Technology'],Locação de mão-de-obra temporária,1,Fabricação de painéis e letreiros luminosos,1
Petz,PET CENTER COMERCIO E PARTICIPACOES S.A.,18.328.118/0001-09,"1,725,654,756.31",Acima de 1 bilhão,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,6832,5001-10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,1,Comércio varejista de material elétrico,1
Onze,ONZE GESTORA DE INVESTIMENTOS LTDA.,34.008.311/0001-19,"6,727,867.00",1 – 10 milhões,Atividades de administração de fundos por contrato ou comissão,156,51–200,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Financial Services'}}],['Customer Service'],Atividades de contabilidade,4,"Bancos múltiplos, com carteira comercial",1
Hector Albertazzi,FBHA INDUSTRIA E COMERCIO LTDA,27.386.178/0001-79,"100,000.00",Até 100 mil,Fabricação de artefatos de joalheria e ourivesaria,48,11–50,"São Paulo, SP",[{'job_industry_list': {'industry': 'Retail Apparel and Fashion'}}],['Sales and Business Development'],Atividades de associações de defesa de direitos sociais,1,Comércio varejista de artigos de joalheria,1
Ollie,OLLIE COSMETICOS LTDA,32.233.064/0001-29,"120,000.00",100 mil – 1 milhão,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",215,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Personal Care Product Manufacturing'}}],['Other'],"Comércio atacadista de livros, jornais e outras publicações",1,"Fabricação de tintas, vernizes, esmaltes e lacas",1
Sys Manager,SYS MANAGER INFORMATICA LTDA.,01.369.056/0001-80,"1,406,200.00",1 – 10 milhões,Consultoria em tecnologia da informação,486,201–500,Rio de Janeiro,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology'],"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",1,Ensino de música,1
Enviabybus,EBB AGENCIAMENTO LOGISTICO DIGITAL LTDA,34.631.790/0001-25,"525,000.00",100 mil – 1 milhão,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",27,11–50,"Campinas, São Paulo","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",['Other'],"Comércio a varejo de automóveis, camionetas e utilitários novos",1,Fabricação de sorvetes e outros gelados comestíveis,1
Shopee,SHOPEE LTDA,54.289.446/0001-07,"4,600,000.00",1 – 10 milhões,"Lojas de departamentos ou magazines, exceto lojas francas",49413,+10000,"Singapore, Singapore","[{'job_industry_list': {'industry': 'Internet Marketplace Platforms and Technology, Information and Internet'}}]",['Other'],Atividades de condicionamento físico,1,Atividades de estudos geológicos,1
Instituto Almai,ALMAI INSTITUTO DE NEURODESENVOLVIMENTO INFANTIL LTDA,40.689.989/0001-07,"600,000.00",100 mil – 1 milhão,Atividades de psicologia e psicanálise,425,201–500,"Santos, São Paulo",[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],['Other'],"Lanchonetes, casas de chá, de sucos e similares",2,Fabricação de móveis com predominância de madeira,1
Patrus Transportes,PATRUS TRANSPORTES LTDA,17.463.456/0001-90,"12,361,264.00",10 – 100 milhões,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2881,1001-5000,"Contagem, Minas Gerais",[{'job_industry_list': {'industry': 'Truck Transportation'}}],['Education and Training'],Comércio varejista de materiais de construção em geral,1,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,1
Softys,SOFTYS BRASIL LTDA.,44.145.845/0001-40,"5,212,540,393.00",Acima de 1 bilhão,Fabricação de papel,6513,5001-10000,"Santiago, Región Metropolitana",[{'job_industry_list': {'industry': 'Paper and Forest Product Manufacturing'}}],['Human Resources'],Serviços de engenharia,4,Comércio varejista de calçados,1
i4pro,I4PRO S.A.,07.755.913/0001-67,"15,509,478.00",10 – 100 milhões,Desenvolvimento de programas de computador sob encomenda,275,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Marketing and Sales'],Gestão e administração da propriedade imobiliária,2,Fabricação de artefatos de joalheria e ourivesaria,1
Haytek,HTK LENTES OFTALMICAS S.A.,19.300.038/0001-08,"28,748,855.73",10 – 100 milhões,Fabricação de artigos ópticos,254,201–500,Rio de Janeiro,[{'job_industry_list': {'industry': 'Retail Office Equipment'}}],['Management and Manufacturing'],Agências de publicidade,1,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",1
Iguá Saneamento,IGUA SANEAMENTO S.A.,08.159.965/0001-33,"4,684,373,095.55",Acima de 1 bilhão,Holdings de instituições não-financeiras,2005,1001-5000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Environmental Services'}}],['Business Development and Sales'],Atividades de consultoria e auditoria contábil e tributária,2,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",1
Mevo,MEVO DO BRASIL LTDA,15.726.936/0001-71,"900,000.00",100 mil – 1 milhão,Fabricação de artefatos de cimento para uso na construção,107,51–200,"São Paulo, SP",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Other'],Outras obras de engenharia civil não especificadas anteriormente,1,Fabricação de papel,1
Pravaler,FLUKKA FARMACIA DE MANIPULACAO LTDA,10.450.805/0001-90,"10,000.00",Até 100 mil,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",460,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Financial Services'}}],['Finance and Sales'],Fabricação de sabões e detergentes sintéticos,1,Fabricação de artigos ópticos,1
NEXDOM Healthtech,CJA - ASSESSORIA E PREPARACAO DE DOCUMENTOS LTDA.,27.759.269/0001-02,"15,000.00",Até 100 mil,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",225,201–500,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],"Emissão de vales-alimentação, vales-transporte e similares",2,Fabricação de artefatos de cimento para uso na construção,1
Cidadania Já,CONTABILIZEI TECNOLOGIA LTDA,20.182.807/0001-08,"353,888,500.00",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,207,201–500,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'Consumer Services'}}],['Sales and Business Development'],Agências de viagens,3,Construção de estações e redes de telecomunicações,1
Contabilizei,G4F SOLUCOES CORPORATIVAS LTDA,07.094.346/0001-45,"1,041,600.00",1 – 10 milhões,Desenvolvimento de programas de computador sob encomenda,1842,1001-5000,Brasil,[{'job_industry_list': {'industry': 'Accounting'}}],"['Research, Sales, and Customer Service']",Serviços advocatícios,1,Comércio a varejo de peças e acessórios novos para veículos automotores,1
G4F,CONCIERGE BLINDADO SERVICOS AUTOMOTIVOS LTDA,17.668.689/0001-20,"294,408,645.00",100 milhões – 1 bilhão,Consultoria em tecnologia da informação,3535,1001-5000,"Brasília, Federal District",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Business Development and Sales'],Comércio atacadista de medicamentos e drogas de uso humano,2,"Sociedades de crédito, financiamento e investimento - financeiras",1
Cobli,OSSEL PLANOS DE ASSISTENCIA FUNERARIA LTDA,26.181.103/0001-99,"100,000.00",Até 100 mil,Serviços de funerárias,319,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Management and Manufacturing'],Navegação de apoio marítimo,1,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal",1
OSSEL ASSISTÊNCIA,OSSEL PLANOS DE ASSISTENCIA FUNERARIA LTDA,26.181.103/0001-99,"100,000.00",Até 100 mil,Serviços de funerárias,245,201–500,"Santo Andre, Sao Paulo",[{'job_industry_list': {'industry': 'Facilities Services'}}],['Other'],"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",1,Frigorífico - abate de bovinos,1
TLP,TELE PERFORMANCE TELECOMUNICACOES LTDA.,02.032.251/0001-83,"5,250,000.00",1 – 10 milhões,Construção de estações e redes de telecomunicações,1331,1001-5000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Construction'}}],['Human Resources'],Comércio atacadista de artigos de armarinho,1,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",1
AUTOMOB,AUTOMOB S.A.,43.513.237/0001-89,"923,420,995.00",100 milhões – 1 bilhão,"Outras sociedades de participação, exceto holdings",881,501–1000,"São Paulo, São Paulo","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",['Other'],Transporte aéreo de passageiros regular,1,Locação de mão-de-obra temporária,1
RecargaPay,RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA,11.275.560/0001-75,"300,653,749.00",100 milhões – 1 bilhão,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,651,501–1000,"São Paulo, SP",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Finance and Sales'],Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,1,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,1
Framework Digital,FRAMEWORK TECNOLOGIA EM SOFTWARES LTDA,06.321.412/0001-00,"3,000,000.00",1 – 10 milhões,Desenvolvimento de programas de computador sob encomenda,406,201–500,"Belo Horizonte, MG",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology'],Atividades de cobrança e informações cadastrais,1,Atividades de associações de defesa de direitos sociais,1
Clínicas Inteligentes,ESCRITORIO ADMINISTRATIVO CLINICAS INTELIGENTES LTDA,25.116.805/0001-26,"40,000.00",Até 100 mil,Serviços combinados de escritório e apoio administrativo,326,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],['Other'],Correspondentes de instituições financeiras,2,"Comércio atacadista de livros, jornais e outras publicações",1
ICTS,ICTS DESENVOLVIMENTO DE SISTEMAS E TECNOLOGIA LTDA.,35.716.886/0001-59,"1,000,000.00",100 mil – 1 milhão,Atividades de consultoria em gestão empresarial,715,501–1000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Other'],Ensino médio,1,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",1
O Varejão Autopeças,O VAREJAO AUTOPECAS S.A.,13.868.245/0001-87,"43,877,551.00",10 – 100 milhões,Comércio a varejo de peças e acessórios novos para veículos automotores,158,51–200,,[{'job_industry_list': {'industry': 'Retail'}}],['Other'],Marketing direto,1,"Comércio a varejo de automóveis, camionetas e utilitários novos",1
Omni Conectado,OMNI S/A CREDITO FINANCIAMENTO E INVESTIMENTO,92.228.410/0001-02,"836,357,288.46",100 milhões – 1 bilhão,"Sociedades de crédito, financiamento e investimento - financeiras",1507,1001-5000,São Paulo,[{'job_industry_list': {'industry': 'Banking'}}],['Other'],Agentes de investimentos em aplicações financeiras,1,Atividades de condicionamento físico,1
Dasa,DIAGNOSTICOS DA AMERICA S.A .,61.486.650/0001-83,"19,625,345,656.49",Acima de 1 bilhão,Laboratórios clínicos,31762,+10000,São Paulo,"[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}, {'job_industry_list': {'industry': 'Medical and Diagnostic Laboratories'}}]",['Management and Manufacturing'],"Produção de laminados planos de aço ao carbono, revestidos ou não",1,Comércio varejista de materiais de construção em geral,1
EMPREGARE.com,HERO TECNOLOGIA LTDA,23.073.946/0001-83,"460,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador customizáveis,18,11–50,,[{'job_industry_list': {'industry': 'Software Development'}}],['Accounting/Auditing and Finance'],Testes e análises técnicas,1,Agências de publicidade,1
Ativa Investimentos,"ATIVA INVESTIMENTOS S/A CORRETORA DE TITULOS, CAMBIO E VALORES",33.775.974/0001-04,"43,186,643.17",10 – 100 milhões,Corretoras de títulos e valores mobiliários,237,201–500,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'Banking and Financial Services'}}],"['Administrative, Human Resources, and Other']",Edição de revistas,2,Outras obras de engenharia civil não especificadas anteriormente,1
aTip,ATIP PLATAFORMA TECNOLOGICA E EVENTOS LTDA,44.695.347/0001-71,"10,000.00",Até 100 mil,"Portais, provedores de conteúdo e outros serviços de informação na internet",13,11–50,São Paulo,[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Other'],Gestão de ativos intangíveis não-financeiros,2,Fabricação de sabões e detergentes sintéticos,1
Lojas Torra,MAGAZINE TORRA TORRA LTDA,22.685.030/0001-11,"658,770,000.00",100 milhões – 1 bilhão,"Lojas de departamentos ou magazines, exceto lojas francas",5743,5001-10000,São Paulo,[{'job_industry_list': {'industry': 'Retail'}}],['Other'],Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,1,Serviços advocatícios,1
UOL EdTech,UOL EDTECH TECNOLOGIA EDUCACIONAL S.A.,18.777.517/0001-57,"571,919,667.00",100 milhões – 1 bilhão,********,818,501–1000,"São Paulo, SP",[{'job_industry_list': {'industry': 'E-Learning Providers'}}],['Sales and Business Development'],"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",1,Navegação de apoio marítimo,1
TransParaná,TRANSPARANA TRANSPORTES LTDA,11.453.064/0001-64,"110,000.00",100 mil – 1 milhão,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal",197,51–200,"Camaçari, Bahia",[{'job_industry_list': {'industry': 'Financial Services'}}],['Finance and Sales'],"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",1,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",1
Shoulder,SHOULDER S.A.,43.470.566/0001-90,"19,036,404.20",10 – 100 milhões,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",1426,1001-5000,São Paulo,[{'job_industry_list': {'industry': 'Retail'}}],['Sales and Business Development'],Serviços de diálise e nefrologia,2,Comércio atacadista de artigos de armarinho,1
Rennova,RENNOVA INVESTIMENTOS E PARTICIPACOES S.A.,49.949.602/0001-89,"100,040,101.00",100 milhões – 1 bilhão,Holdings de instituições não-financeiras,865,501–1000,"Goiania, Goiás",[{'job_industry_list': {'industry': 'Automation Machinery Manufacturing'}}],['Other'],Construção de rodovias e ferrovias,1,Transporte aéreo de passageiros regular,1
YDUQS,YDUQS PARTICIPACOES S.A.,08.807.432/0001-10,"1,139,887,263.22",Acima de 1 bilhão,Holdings de instituições não-financeiras,2330,1001-5000,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Other'],Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,1,Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,1
Axur,AXUR SEGURANCA E DEFESA CIBERNETICA LTDA,10.318.969/0001-69,"3,117,930.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,233,201–500,"Miami, Florida",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],Sociedade seguradora de seguros não vida,1,Atividades de cobrança e informações cadastrais,1
Rede Ápice,LIZ EDUCACIONAL LTDA,38.089.262/0001-47,"1,000,000.00",100 mil – 1 milhão,Holdings de instituições não-financeiras,22,11–50,"São Paulo, SP",[{'job_industry_list': {'industry': 'Motor Vehicle Manufacturing'}}],['Sales and Business Development'],Sociedades de crédito ao microempreendedor,1,Ensino médio,1
KaBuM!,KABUM S.A.,05.570.714/0001-59,"250,881,568.21",100 milhões – 1 bilhão,Comércio varejista especializado de equipamentos e suprimentos de informática,1117,1001-5000,"Limeira, São Paulo",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,1,Marketing direto,1
Cury Construtora,CURY CONSTRUTORA E INCORPORADORA S.A.,08.797.760/0001-83,"506,846,633.00",100 milhões – 1 bilhão,Construção de edifícios,3275,1001-5000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Civil Engineering'}}],['Other'],Educação superior - graduação e pós-graduação,1,Agentes de investimentos em aplicações financeiras,1
Benner,BENNER SISTEMAS S/A,02.288.055/0001-74,0,Até 100 mil,Desenvolvimento e licenciamento de programas de computador customizáveis,1362,1001-5000,São Paulo,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",1,"Produção de laminados planos de aço ao carbono, revestidos ou não",1
Simpar,SIMPAR S.A.,07.415.333/0001-20,"1,174,361,607.43",Acima de 1 bilhão,Holdings de instituições não-financeiras,596,501–1000,São Paulo,"[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",['Other'],Fabricação de biscoitos e bolachas,1,Testes e análises técnicas,1
JBS,JBS S/A,02.916.265/0001-60,"23,631,071,304.24",Acima de 1 bilhão,Frigorífico - abate de bovinos,88545,+10000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Food and Beverage Manufacturing'}}],['Management and Manufacturing'],Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,1,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,1
Alper Seguros,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,11.721.921/0001-60,"598,151,564.92",100 milhões – 1 bilhão,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",1111,1001-5000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Insurance'}}],['Other'],"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",1,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",1
SFERA Multifranquias,LVB - LEVI COMERCIO DE ROUPAS LTDA,10.446.876/0001-10,"62,200.00",Até 100 mil,********,160,51–200,"Rio de Janeiro, Rio de Janeiro",[{'job_industry_list': {'industry': 'Retail'}}],['Sales and Business Development'],Fabricação de embalagens de material plástico,1,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",1
Nuvemshop,NA NUVEM SHOP INTERMEDIACOES LTDA,49.256.088/0001-04,"4,000.00",Até 100 mil,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",795,501–1000,São Paulo,"[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Engineering and Information Technology'],Hotéis,2,Construção de rodovias e ferrovias,1
Connectoway,CONNECTOWAY SOLUCOES INTELIGENTES EM TECNOLOGIA S.A,03.822.909/0001-13,"23,380,000.00",10 – 100 milhões,Comércio atacadista de equipamentos de informática,167,51–200,"Recife, Pernambuco",[{'job_industry_list': {'industry': 'Telecommunications'}}],['Other'],Compra e venda de imóveis próprios,1,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,1
DB,SUPERMERCADOS DB LTDA,22.991.939/0001-06,"245,000,000.00",100 milhões – 1 bilhão,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",1125,1001-5000,"Porto Alegre, Rio Grande do Sul",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],"Comércio a varejo de automóveis, camionetas e utilitários usados",1,Sociedade seguradora de seguros não vida,1
LIZIE,ATF COMERCIO E CONFECCAO LTDA,25.196.071/0001-32,"60,000.00",Até 100 mil,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",250,201–500,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],"Fabricação de biocombustíveis, exceto álcool",1,Sociedades de crédito ao microempreendedor,1
Federzoni Supermercados,FEDERZONI SERPA COMERCIO DE ALIMENTOS LTDA,07.165.375/0001-50,"100,000.00",Até 100 mil,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",277,201–500,"Caieiras, SP",[{'job_industry_list': {'industry': 'Retail Groceries'}}],['Management and Manufacturing'],Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,1,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,1
Valle RH,VALLE RECURSOS HUMANOS TRABALHOS TEMPORARIOS LTDA,10.719.710/0001-20,"274,000.00",100 mil – 1 milhão,Locação de mão-de-obra temporária,149,51–200,"Sorocaba, São Paulo",[{'job_industry_list': {'industry': 'Human Resources Services'}}],['Management and Manufacturing'],"Comercio varejista de artigos de cama, mesa e banho",1,Educação superior - graduação e pós-graduação,1
Cipriano Ayala Soluções em Gestão Pública,AYALA E AYALA ASSESSORIA E CONSULTORIA LTDA,31.465.695/0001-00,"75,000.00",Até 100 mil,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,13,11–50,"Sorocaba, São Paulo",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],[],Comércio varejista de móveis,2,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",1
Join LinkedIn,SERAC CONTABILIDADE LTDA,46.390.988/0001-43,"1,000.00",Até 100 mil,Atividades de contabilidade,Não encontrado,+10000,Não encontrada,[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Other'],Fabricação de refrigerantes,1,Fabricação de biscoitos e bolachas,1
AFPESP,ASSOCIACAO DOS FUNCIONARIOS PUBLICOS ESTADO SAO PAULO,62.149.000/0001-05,0,Até 100 mil,Atividades de associações de defesa de direitos sociais,788,501–1000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Civic and Social Organizations'}}],['Other'],"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",1,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,1
Vitus,VITUS GESTAO E ATIVIDADES PARA IDOSOS LTDA,33.682.401/0001-28,"5,000.00",Até 100 mil,********,110,51–200,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Other'],"Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança",1,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",1
Docket,"R.P.D. - DOCUMENTOS, APOIO EMPRESARIAL E NEGOCIOS LTDA",23.522.710/0001-87,"137,297,427.00",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,152,51–200,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Software Development'}}],['Other'],Atividade médica ambulatorial com recursos para realização de exames complementares,1,Fabricação de embalagens de material plástico,1
EBM Incorporacoes,EBM INCORPORACOES S/A,03.025.881/0001-93,"199,296,390.19",100 milhões – 1 bilhão,Incorporação de empreendimentos imobiliários,780,501–1000,"Goiânia, Goiás",[{'job_industry_list': {'industry': 'Civil Engineering'}}],['Other'],"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",1,Compra e venda de imóveis próprios,1
Minha Biblioteca,MINHA BIBLIOTECA LTDA.,13.183.749/0001-63,"2,500,000.00",1 – 10 milhões,"Comércio atacadista de livros, jornais e outras publicações",295,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Education Administration Programs'}}],['Other'],"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",2,"Comércio a varejo de automóveis, camionetas e utilitários usados",1
A GERADORA,A GERADORA ALUGUEL DE MAQUINAS S.A.,33.845.322/0001-90,"122,184,504.28",100 milhões – 1 bilhão,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",828,501–1000,"Salvador, BA",[{'job_industry_list': {'industry': 'Machinery Manufacturing'}}],['Other'],Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,1,"Fabricação de biocombustíveis, exceto álcool",1
