Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,Linkedin,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
Sicredi,CONFEDERACAO DAS COOPERATIVAS DO SICREDI - CONFEDERACAO SICREDI,03.795.072/0001-60,0.00,Até 100 mil,Serviços combinados de escritório e apoio administrativo,"19,636.00",+10000,"Porto Alegre, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Financial Services'}}],https://www.linkedin.com/company/sicredi,['Sales and Business Development'],Serviços combinados de escritório e apoio administrativo,5,********,254
3tentos,TRES TENTOS AGROINDUSTRIAL S/A,94.813.102/0001-70,"1,565,586,775.75",Acima de 1 bilhão,Comércio atacadista de cereais e leguminosas beneficiados,"1,334.00",1001-5000,"Santa Barbara do Sul, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Farming'}}],https://www.linkedin.com/company/3tentosagro,['Management and Manufacturing'],Comércio atacadista de cereais e leguminosas beneficiados,1,Desenvolvimento e licenciamento de programas de computador não-customizáveis,13
FIERGS,CONDOMINIO INSTITUCIONAL DO SISTEMA FIERGS,03.505.886/0001-13,0.00,Até 100 mil,Condomínios prediais,"1,064.00",1001-5000,"Porto Alegre, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Civic and Social Organizations'}}],https://www.linkedin.com/company/fiergs,['Management and Manufacturing'],Condomínios prediais,1,Holdings de instituições não-financeiras,13
Grupo Dass,DASS SUL CALCADOS E ARTIGOS ESPORTIVOS LTDA,81.786.121/0001-02,"143,000,000.00",100 milhões – 1 bilhão,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida","7,369.00",5001-10000,"Ivoti, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Sporting Goods Manufacturing'}}],https://www.linkedin.com/company/grupodass,['Administrative'],"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",2,Desenvolvimento e licenciamento de programas de computador customizáveis,13
IPM Sistemas,IPM SISTEMAS LTDA,01.258.027/0001-41,"1,000,000.00",100 mil – 1 milhão,"Portais, provedores de conteúdo e outros serviços de informação na internet",671.00,501–1000,"Florianópolis, SC",[{'job_industry_list': {'industry': 'Computer and Network Security'}}],https://www.linkedin.com/company/ipmsistemas,['Administrative'],"Portais, provedores de conteúdo e outros serviços de informação na internet",3,Treinamento em desenvolvimento profissional e gerencial,11
União Distribuidora de Bebidas Ltda,UNIAO DISTRIBUIDORA DE BEBIDAS LTDA,89.236.988/0001-04,"1,014,400.00",1 – 10 milhões,"Comércio atacadista de cerveja, chope e refrigerante",93.00,51–200,"Ijuí, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/uniaobebidas,['Sales and Business Development'],"Comércio atacadista de cerveja, chope e refrigerante",2,Atividades de contabilidade,8
Mecasul Auto Mecânica S/A,MECASUL AUTO MECANICA SA,88.616.776/0001-81,"70,000,000.00",10 – 100 milhões,Comércio por atacado de caminhões novos e usados,223.00,201–500,"Caxias do Sul, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Motor Vehicle Manufacturing'}}],https://www.linkedin.com/company/mecasul,['Administrative'],Comércio por atacado de caminhões novos e usados,1,Desenvolvimento de programas de computador sob encomenda,8
VML,VML BRASIL PROPAGANDA LTDA,58.456.336/0001-43,"71,095,822.00",10 – 100 milhões,Agências de publicidade,"33,305.00",+10000,"New York, New York",[{'job_industry_list': {'industry': 'Advertising Services'}}],https://www.linkedin.com/company/vml,['Information Technology'],Agências de publicidade,4,Seleção e agenciamento de mão-de-obra,7
Sesc Santa Catarina,SERVICO SOCIAL DO COMERCIO - SESC AR/SC,03.603.595/0001-68,0.00,Até 100 mil,Serviços de assistência social sem alojamento,876.00,501–1000,"Florianópolis, Santa Catarina",[{'job_industry_list': {'industry': 'Civic and Social Organizations'}}],https://www.linkedin.com/company/sesc-sc,"['Other, Information Technology, and Management']",Serviços de assistência social sem alojamento,3,Consultoria em tecnologia da informação,7
Gazin,GAZIN INDUSTRIA E COMERCIO DE MOVEIS E ELETRODOMESTICOS S.A,77.941.490/0001-55,"1,500,000,000.00",Acima de 1 bilhão,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,"4,149.00",1001-5000,"Douradina, Paraná",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/gazin,"['Design, Art/Creative, and Information Technology']",Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,2,Serviços combinados de escritório e apoio administrativo,5
Refuturiza,REFUTURIZA EMPREENDIMENTO EDUCACIONAL S.A,29.490.639/0001-84,"1,200,000.00",1 – 10 milhões,Treinamento em desenvolvimento profissional e gerencial,91.00,51–200,"Ipatinga, Minas Gerais",[{'job_industry_list': {'industry': 'Education Administration Programs'}}],https://www.linkedin.com/company/refuturiza,"['Administrative', 'Marketing and Sales']",Treinamento em desenvolvimento profissional e gerencial,11,Comércio varejista de artigos do vestuário e acessórios,5
Hummanos Consultoria em RH,HUMMANOS CONSULTORIA EM RH LTDA,25.391.834/0001-04,"10,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,9.00,0–10,"Uberlândia, Minas Gerais",[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/hummanos-cursos-consultoria-rh,['Management and Manufacturing'],Planos de saúde,1,Agências de publicidade,4
Unimed Serra Gaucha,UNIMED SERRA GAUCHA/RS COOPERATIVA DE ASSISTENCIA A SAUDE LTDA,87.827.689/0001-00,0.00,Até 100 mil,Planos de saúde,"1,386.00",1001-5000,"Caxias do Sul, RS",[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],https://www.linkedin.com/company/unimedserragaucha,['Health Care Provider'],Fabricação de alimentos para animais,2,Atividades de teleatendimento,4
Salus Nutrição Animal,SALUS COMERCIO DE PRODUTOS DE SAUDE E NUTRICAO ANIMAL S.A.,12.459.961/0001-48,"72,000,000.00",10 – 100 milhões,Fabricação de alimentos para animais,112.00,51–200,"Santo Antonio de Posse, SP",[{'job_industry_list': {'industry': 'Veterinary Services'}}],https://www.linkedin.com/company/salusnutricaoanimal,['Information Technology'],Comércio por atacado de peças e acessórios novos para veículos automotores,3,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",4
Testato,TESTATO SERVICOS TECNICOS LTDA,05.026.648/0001-50,"5,850,000.00",1 – 10 milhões,Comércio por atacado de peças e acessórios novos para veículos automotores,227.00,201–500,"Nova Lima, Minas Gerais",[{'job_industry_list': {'industry': 'Wholesale Import and Export'}}],https://www.linkedin.com/company/testato,['Other'],Desenvolvimento e licenciamento de programas de computador não-customizáveis,13,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",4
ROIT,ROIT INNOVATION DESENVOLVIMENTO S/A,11.216.711/0001-14,"2,468,500.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,206.00,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/roit-ai,['Accounting/Auditing and Finance'],Atividades de teleatendimento,4,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4
AlmavivA Experience,ALMAVIVA EXPERIENCE S.A.,08.174.089/0001-14,"601,499,885.00",100 milhões – 1 bilhão,Atividades de teleatendimento,"21,541.00",+10000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Advertising Services'}}],https://www.linkedin.com/company/almavivaexperience,['Sales and Business Development'],Obras de terraplenagem,1,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",4
Ponce Tech,PONCE TECH CONSULTORIA LTDA,21.957.955/0001-01,"50,000.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador não-customizáveis,45.00,11–50,"Fortaleza, Ceará",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/poncetech,['Information Technology'],Incorporação de empreendimentos imobiliários,3,"Portais, provedores de conteúdo e outros serviços de informação na internet",3
Britasolo,BRITASOLO DEMOLICOES LTDA,14.111.923/0001-25,"550,000.00",100 mil – 1 milhão,Obras de terraplenagem,13.00,11–50,,[{'job_industry_list': {'industry': 'Mining'}}],https://www.linkedin.com/company/britasolo,['Accounting/Auditing and Finance'],Comércio varejista de medicamentos veterinários,1,Serviços de assistência social sem alojamento,3
Netvagas,A L DE OLIVEIRA RODRIGUES INFORMATICA,12.546.191/0001-70,"10,000.00",Até 100 mil,"Portais, provedores de conteúdo e outros serviços de informação na internet",67.00,51–200,Cotia,[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/netvagas,['Human Resources'],Construção de barragens e represas para geração de energia elétrica,1,Comércio por atacado de peças e acessórios novos para veículos automotores,3
EBM Incorporacoes,EBM INCORPORACOES S/A,03.025.881/0001-93,"199,296,390.19",100 milhões – 1 bilhão,Incorporação de empreendimentos imobiliários,784.00,501–1000,"Goiânia, Goiás",[{'job_industry_list': {'industry': 'Civil Engineering'}}],https://www.linkedin.com/company/ebm-desenvolvimento-imobiliario,['Other'],"Fabricação de válvulas, registros e dispositivos semelhantes",1,Incorporação de empreendimentos imobiliários,3
Alvorada Produtos Agropecuários,ALVORADA COMERCIO DE PRODUTOS AGROPECUARIOS LTDA,01.963.040/0001-00,"120,539,158.00",100 milhões – 1 bilhão,Comércio varejista de medicamentos veterinários,811.00,501–1000,"Campo Grande, MS",[{'job_industry_list': {'industry': 'Farming'}}],https://www.linkedin.com/company/alvorada-produtos-agropecuarios,['Other'],Comércio varejista de móveis,1,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",3
Quebec S.A.,QUEBEC ENGENHARIA S/A,24.074.488/0001-60,"1,000,000.00",100 mil – 1 milhão,Construção de barragens e represas para geração de energia elétrica,506.00,501–1000,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Construction'}}],https://www.linkedin.com/company/construtoraquebec,['Other'],Atividades de consultoria em gestão empresarial,2,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",3
Censi Brasil,CENSI INDUSTRIA DE PRODUTOS HIDROSSANITARIOS SA,02.308.456/0001-49,"1,835,000.00",1 – 10 milhões,"Fabricação de válvulas, registros e dispositivos semelhantes",170.00,51–200,"Blumenau, SC",[{'job_industry_list': {'industry': 'Construction'}}],https://www.linkedin.com/company/censibrasil,['Other'],"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",4,Construção de edifícios,3
Deltasul Utilidades,DELTASUL UTILIDADES LTDA,98.102.924/0001-01,"87,665,633.23",10 – 100 milhões,Comércio varejista de móveis,825.00,501–1000,,[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/deltasul-utilidades,['Other'],"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",1,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,3
Teknisa Software,TEKNISA SOFTWARE LTDA,26.269.316/0001-77,"507,812.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,531.00,501–1000,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/teknisaoficial,['Other'],"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",2,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",3
Logica Soluções Integradas,LOGICA SOLUCOES INTEGRADAS LTDA,11.450.877/0001-09,"10,000.00",Até 100 mil,Serviços combinados de escritório e apoio administrativo,23.00,11–50,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Telecommunications'}}],https://www.linkedin.com/company/logicasolu%c3%a7%c3%b5esintegradas,['Administrative'],Comércio varejista de artigos do vestuário e acessórios,5,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",2
People Capital Humano,PEOPLE CAPITAL HUMANO LTDA,22.740.734/0001-40,"2,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,2.00,0–10,"Timbó, Santa Catarina","[{'job_industry_list': {'industry': 'Appliances, Electrical, and Electronics Manufacturing'}}]",https://www.linkedin.com/company/peoplecapitalhumano,"['Design, Art/Creative, and Information Technology']",Cooperativas de crédito mútuo,1,"Comércio atacadista de cerveja, chope e refrigerante",2
Humtech - Recrutando para Tecnologia,HUMTECH RECURSOS HUMANOS LTDA,45.301.640/0001-70,"50,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,31.00,11–50,"Curitiba, PR",[{'job_industry_list': {'industry': 'Computer and Network Security'}}],https://www.linkedin.com/company/humtech,['Engineering and Information Technology'],"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",3,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,2
Pravaler,PRAVALER S/A,04.531.065/0001-14,"328,206,026.00",100 milhões – 1 bilhão,Atividades de consultoria em gestão empresarial,460.00,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Financial Services'}}],https://www.linkedin.com/company/pravaler,['Business Development and Sales'],"Suporte técnico, manutenção e outros serviços em tecnologia da informação",4,Fabricação de alimentos para animais,2
allu,ALLUGATOR SERVICOS DIGITAIS LTDA,25.053.921/0001-43,"5,000.00",Até 100 mil,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",314.00,201–500,"Belo Horizonte, Minas Gerais","[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",https://www.linkedin.com/company/alluoficial,['Other'],"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",2,Atividades de consultoria em gestão empresarial,2
Intelbras,INTELBRAS S.A. INDUSTRIA DE TELECOMUNICACAO ELETRONICA BRASILEIRA,82.901.000/0001-27,"2,000,000,000.00",Acima de 1 bilhão,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios","4,847.00",1001-5000,"São José, Santa Catarina",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/intelbras,['Sales and Business Development'],Comércio varejista especializado de equipamentos e suprimentos de informática,2,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",2
São Pietro Hospitais e Clínicas,ASSOCIACAO SAO PIETRO SAUDE,09.128.192/0001-90,"40,000.00",Até 100 mil,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",165.00,51–200,,[{'job_industry_list': {'industry': 'Hospitals'}}],https://www.linkedin.com/company/gruposaopietro,['Administrative'],"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",2,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",2
Riachuelo,LOJAS RIACHUELO SA,33.200.056/0001-49,"4,238,448,788.42",Acima de 1 bilhão,Comércio varejista de artigos do vestuário e acessórios,"32,143.00",+10000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/riachuelo,['Other'],Fabricação de cimento,1,Comércio varejista especializado de equipamentos e suprimentos de informática,2
Sicoob UniCentro Br,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO CENTRO BRASILEIRA LTDA.,37.395.399/0001-67,0.00,Até 100 mil,Cooperativas de crédito mútuo,893.00,501–1000,"Goiânia, GO",[{'job_industry_list': {'industry': 'Banking'}}],https://www.linkedin.com/company/sicoobunicentrobr,['Other'],Serviços de pré-impressão,1,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",2
Pilar Hospital,HOSPITAL NOSSA SENHORA DO PILAR S.A.,76.498.013/0001-02,"8,295,825.00",1 – 10 milhões,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",583.00,501–1000,,[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],https://www.linkedin.com/company/pilarhospital,['Other'],Seleção e agenciamento de mão-de-obra,7,Fabricação de outros produtos de metal não especificados anteriormente,2
Cocamar Máquinas,COCAMAR MAQUINAS AGRICOLAS LTDA.,02.213.491/0001-84,"190,000,000.00",100 milhões – 1 bilhão,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",204.00,201–500,"maringá, PR",[{'job_industry_list': {'industry': 'Farming'}}],https://www.linkedin.com/company/cocamar-m%c3%a1quinas,['Other'],Fabricação de outros produtos de metal não especificados anteriormente,2,Testes e análises técnicas,2
Logcomex,LOGCOMEX LTDA.,13.475.043/0001-75,"42,059,400.00",10 – 100 milhões,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",382.00,201–500,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/logcomex,['Other'],Atividades veterinárias,1,Serviços advocatícios,2
Lojacorr,LOJACORR S.A. REDE DE CORRETORAS DE SEGUROS,04.529.055/0001-44,"10,991,562.00",10 – 100 milhões,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",510.00,501–1000,"São José dos Pinhais, Paraná",[{'job_industry_list': {'industry': 'Insurance'}}],https://www.linkedin.com/company/lojacorr-corretora-de-seguros,['Other'],Testes e análises técnicas,2,Atividades de organizações associativas patronais e empresariais,2
VEGA Monitoramento Agro,VEGA MONITORAMENTO E ORIGINACAO AGROAMBIENTAL S.A,30.892.910/0001-97,"23,002,784.36",10 – 100 milhões,Comércio varejista especializado de equipamentos e suprimentos de informática,159.00,51–200,"São José dos Campos, São Paulo",[{'job_industry_list': {'industry': 'Consumer Services'}}],https://www.linkedin.com/company/vega-monitoramento-agro,['Other'],"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",1,"Fabricação de adubos e fertilizantes, exceto organo-minerais",2
Armac,"ARMAC LOCACAO, LOGISTICA E SERVICOS S.A.",00.242.184/0001-04,"1,134,339,481.70",Acima de 1 bilhão,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes","3,015.00",1001-5000,"Barueri, São Paulo",[{'job_industry_list': {'industry': 'Consumer Services'}}],https://www.linkedin.com/company/armac-locacao,['Other'],"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",3,Edição integrada à impressão de livros,2
Cimento Apodi,COMPANHIA INDUSTRIAL DE CIMENTO APODI,10.260.249/0001-90,"603,884,027.75",100 milhões – 1 bilhão,Fabricação de cimento,601.00,501–1000,"Fortaleza, Ceara",[{'job_industry_list': {'industry': 'Construction'}}],https://www.linkedin.com/company/cimento-apodi,['Other'],Holdings de instituições não-financeiras,13,Agências de viagens,2
Alpha Clicheria,ALPHA CLICHERIA E SOLUCOES GRAFICAS LTDA,03.257.161/0001-53,"4,507,500.00",1 – 10 milhões,Serviços de pré-impressão,176.00,51–200,"Valinhos, SP",[{'job_industry_list': {'industry': 'Design Services'}}],https://www.linkedin.com/company/alphaclicheria,"['Marketing, Public Relations, and Writing/Editing']",Cooperativas centrais de crédito,1,Administração de cartões de crédito,2
Selpe Vagas,SELPE SELECAO DE PESSOAL LTDA,17.186.685/0001-05,"346,000.00",100 mil – 1 milhão,Seleção e agenciamento de mão-de-obra,17.00,11–50,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Information Services'}}],https://www.linkedin.com/company/selpevagas,['Engineering and Information Technology'],Atividades de contabilidade,8,Comércio varejista especializado de equipamentos de telefonia e comunicação,2
MK Solutions,MK SOLUTIONS CRIACAO DE SOFTWARE LTDA,09.587.408/0001-86,"200,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,210.00,201–500,"Santa Cruz do Sul, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Software Development'}}],https://www.linkedin.com/company/mksolutionssoftware,['Sales and Business Development'],Construção de edifícios,3,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",2
Opus Construtech,OPUS INDUSTRIA DE CONSTRUCOES MODULARES LTDA,28.811.839/0001-29,"4,500,000.00",1 – 10 milhões,Fabricação de outros produtos de metal não especificados anteriormente,506.00,501–1000,"Betim, Minas Gerais",[{'job_industry_list': {'industry': 'Building Construction'}}],https://www.linkedin.com/company/opusconstrutech,['Administrative'],Fabricação de laticínios,1,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",2
Pet Care Centro Veterinário,PET CARE CENTRO VETERINARIO SA,15.523.220/0001-77,"335,349,745.00",100 milhões – 1 bilhão,Atividades veterinárias,692.00,501–1000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Veterinary Services'}}],https://www.linkedin.com/company/pet-care-centro-veterin%c3%a1rio-24h,['Other'],Moagem de trigo e fabricação de derivados,1,Hotéis,2
Concept Desenvolvimento Empresarial,CAROLINA PAIVA RIBEIRO DO PRADO,27.257.648/0001-02,"10,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,6.00,0–10,"Ribeirão Preto, São Paulo",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],https://www.linkedin.com/company/conceptdesenvolvimento,['Administrative'],Serviços advocatícios,2,Promoção de vendas,2
Genesis Group,GENESIS GROUP TICRM SERVICOS LTDA,11.566.351/0001-80,"47,291,390.00",10 – 100 milhões,Testes e análises técnicas,"1,134.00",1001-5000,"Ibiporã, Paraná",[{'job_industry_list': {'industry': 'Farming'}}],https://www.linkedin.com/company/genesisgroupbrasil,['Administrative'],Desenvolvimento e licenciamento de programas de computador customizáveis,13,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",2
Martins,MARTINS COMERCIO E SERVICOS DE DISTRIBUICAO S/A,43.214.055/0001-07,"405,134,983.00",100 milhões – 1 bilhão,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários","8,518.00",5001-10000,"Uberlândia, MG",[{'job_industry_list': {'industry': 'Wholesale'}}],https://www.linkedin.com/company/martins,['Management and Manufacturing'],Comércio varejista de outros produtos não especificados anteriormente,1,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,2
Forza JMalucelli,JMALUCELLI RENTAL S/A,95.424.321/0001-20,"10,878,681.00",10 – 100 milhões,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",309.00,201–500,Curitiba,[{'job_industry_list': {'industry': 'Machinery Manufacturing'}}],https://www.linkedin.com/company/forza-jmalucelli,['Sales and Business Development'],Atividades de organizações associativas patronais e empresariais,2,Fabricação de defensivos agrícolas,2
Braveo,BRAVEO S.A.,51.008.925/0001-10,"904,053,672.41",100 milhões – 1 bilhão,Holdings de instituições não-financeiras,"2,243.00",1001-5000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Consumer Services'}}],https://www.linkedin.com/company/braveo-oficial,['Other'],"Fabricação de adubos e fertilizantes, exceto organo-minerais",2,Educação superior - graduação e pós-graduação,2
TecnoSpeed TI,TECNOSPEED S/A,08.187.168/0001-60,"1,200,700.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,237.00,201–500,"Maringá, PR",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/tecnospeed-ti,['Other'],"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",1,Comércio atacadista de cereais e leguminosas beneficiados,1
Unicred - Núcleo Geração,COOPERATIVA CENTRAL DE CREDITO UNICRED DO BRASIL - UNICRED DO BRASIL,00.315.557/0006-26,"17,120,894.00",10 – 100 milhões,Cooperativas centrais de crédito,135.00,51–200,Rio Grande do Sul,[{'job_industry_list': {'industry': 'Banking'}}],https://www.linkedin.com/company/unicrednucleogeracao,['Other'],Edição integrada à impressão de livros,2,Condomínios prediais,1
Contajá Contabilidade Online,CONTA JA CONTABILIDADE LTDA,25.021.140/0001-77,"200,000.00",100 mil – 1 milhão,Atividades de contabilidade,142.00,51–200,"Viçosa, Minas Gerais",[{'job_industry_list': {'industry': 'Accounting'}}],https://www.linkedin.com/company/contajaonline,['Other'],Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,1,Comércio por atacado de caminhões novos e usados,1
Construtora Tenda,CONSTRUTORA TENDA S/A,71.476.527/0001-35,"910,728,801.38",100 milhões – 1 bilhão,Construção de edifícios,"4,756.00",1001-5000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Real Estate'}}],https://www.linkedin.com/company/construtora-tenda,['Other'],Comércio atacadista de alimentos para animais,1,Planos de saúde,1
IXC Soft,MXCSOFT SISTEMAS LTDA,24.709.490/0001-68,"10,000.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador não-customizáveis,541.00,501–1000,"Chapecó , Santa Catarina",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/ixcsoft,['Other'],Atividades de associações de defesa de direitos sociais,1,Obras de terraplenagem,1
Alvoar Lácteos,ALVOAR LACTEOS S/A,21.992.946/0001-51,"399,551,528.77",100 milhões – 1 bilhão,Fabricação de laticínios,"1,671.00",1001-5000,"Fortaleza, Ceará",[{'job_industry_list': {'industry': 'Food and Beverage Manufacturing'}}],https://www.linkedin.com/company/alvoar-l%c3%a1cteos,['Other'],Edição integrada à impressão de jornais diários,1,Comércio varejista de medicamentos veterinários,1
BPO4u,BPO4U ASSESSORIA E CONSULTORIA LTDA,34.779.754/0001-03,"10,000.00",Até 100 mil,Atividades de contabilidade,17.00,11–50,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Accounting'}}],https://www.linkedin.com/company/bpo4u,['Administrative'],Agências de viagens,2,Construção de barragens e represas para geração de energia elétrica,1
Vilma Alimentos,DOMINGOS COSTA INDUSTRIAS ALIMENTICIAS SA,17.159.518/0001-75,"61,655,003.90",10 – 100 milhões,Moagem de trigo e fabricação de derivados,"1,617.00",1001-5000,"Contagem, Minas Gerais",[{'job_industry_list': {'industry': 'Food and Beverage Services'}}],https://www.linkedin.com/company/vilma-alimentos,['Human Resources'],"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4,"Fabricação de válvulas, registros e dispositivos semelhantes",1
RHBH,RHBH GESTAO DE PESSOAS LTDA,29.125.483/0001-32,"10,000.00",Até 100 mil,Seleção e agenciamento de mão-de-obra,3.00,0–10,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/rhbh,['Other'],"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",1,Comércio varejista de móveis,1
Queiroz Cavalcanti Advocacia,QUEIROZ CAVALCANTI - ADVOCACIA,02.636.065/0001-53,"512,500.00",100 mil – 1 milhão,Serviços advocatícios,"1,052.00",1001-5000,"Recife, Pernambuco",[{'job_industry_list': {'industry': 'Legal Services'}}],https://www.linkedin.com/company/qcaoficial,['Other'],Administração de cartões de crédito,2,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",1
GOVERNANÇABRASIL - GOVBR,GOVERNANCABRASIL S/A TECNOLOGIA E GESTAO EM SERVICOS,00.165.960/0001-01,"133,131,680.09",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador customizáveis,708.00,501–1000,"Blumenau, Santa Catarina",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/governancabrasil,['Other'],Comércio varejista especializado de equipamentos de telefonia e comunicação,2,Cooperativas de crédito mútuo,1
