Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,Linkedin,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
Imex Medical,IMX INDUSTRIA E COMERCIO LTDA,51.577.256/0001-05,"10,300,000.00",10 – 100 milhões,Treinamento em desenvolvimento profissional e gerencial,81.00,51–200,"São José, Santa Catarina",[{'job_industry_list': {'industry': 'Machinery Manufacturing'}}],https://www.linkedin.com/company/imex-medical-brasil,['Sales'],,,,
Delta DRH,DELTA RECRUTAMENTO SELECAO E TREINAMENTO LTDA,37.263.363/0001-20,"1,000.00",Até 100 mil,Comércio varejista de material elétrico,7.00,0–10,"NOVA ODESSA, SP",[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/delta-desenvolvimento,['Business Development and Sales'],,,,
WHS,WHS EQUIPAMENTOS ELETRICOS LTDA,45.816.152/0001-03,"300,000.00",100 mil – 1 milhão,Fabricação de embalagens de material plástico,696.00,501–1000,"Williams, Ca","[{'job_industry_list': {'industry': 'Electric Power Transmission, Control, and Distribution'}}]",https://www.linkedin.com/company/whs,['Other'],,,,
Multinova,MULTINOVA - INDUSTRIA DE EMBALAGENS PLASTICAS LTDA.,92.475.250/0001-04,"10,000,000.00",1 – 10 milhões,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",351.00,201–500,"Farroupilha, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Plastics Manufacturing'}}],https://www.linkedin.com/company/multinova-solucoes,['Human Resources'],,,,
PHM Indústria,PHM INDUSTRIA LTDA,06.192.156/0001-06,"150,000.00",100 mil – 1 milhão,Agências de publicidade,22.00,11–50,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Mining'}}],https://www.linkedin.com/company/phmbombas,['Sales and Business Development'],,,,
Conecta Ads,CONECTA ADS LTDA,38.000.534/0001-90,"50,000.00",Até 100 mil,Seleção e agenciamento de mão-de-obra,61.00,51–200,"Blumenau, Santa Catarina",[{'job_industry_list': {'industry': 'Marketing Services'}}],https://www.linkedin.com/company/conectaadsoficial,['Consulting'],,,,
talent's club,TRECHAU CONSULTORIA & SOLUCOES ORGANIZACIONAIS LTDA,42.719.204/0001-27,"20,000.00",Até 100 mil,Comércio varejista especializado de equipamentos de telefonia e comunicação,36.00,11–50,"Rio de Janeiro, Rio de Janeiro",[{'job_industry_list': {'industry': 'Human Resources'}}],https://www.linkedin.com/company/talentsclub,['Information Technology'],,,,
Netglobe Hybrid Workplace,NETGLOBE COMPUTER SERVICE LTDA,03.869.628/0001-16,"1,000,000.00",100 mil – 1 milhão,Correspondentes de instituições financeiras,70.00,51–200,"Campinas, São Paulo",[{'job_industry_list': {'industry': 'Computer and Network Security'}}],https://www.linkedin.com/company/netglobe,"['Information Technology', 'Legal']",,,,
Solução Financeira,SOLUCAO FINANCEIRA LTDA.,42.904.669/0001-58,"10,000.00",Até 100 mil,Consultoria em tecnologia da informação,431.00,201–500,"Campo Mourão, Paraná",[{'job_industry_list': {'industry': 'Financial Services'}}],https://www.linkedin.com/company/solucaofinanceirabr,['Sales and Business Development'],,,,
Apter,APTER TECNOLOGIA E INOVACAO LTDA.,25.115.875/0001-60,"50,000.00",Até 100 mil,Comércio varejista de artigos do vestuário e acessórios,135.00,51–200,"Sorocaba, SP",[{'job_industry_list': {'industry': 'Professional Services'}}],https://www.linkedin.com/company/apterconsultoria,['Finance'],,,,
