Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,Linkedin,Uniue Segmento,Contagem de Segmento,Top Segmento,,,,,,,,,,job_industry_collection,job_functions_collection
Auvo Tecnologia,AUVO TECNOLOGIA S.A.,10.426.136/0001-11,"11,214,799.77",10 – 100 milhões,"Portais, provedores de conteúdo e outros serviços de informação na internet",197.00,51–200,"Goiânia, Goiás",https://www.linkedin.com/jobs/view/analista-de-recursos-humanos-goi%25C3%25A2nia-go-at-auvo-tecnologia-4045328989,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",3,Restaurantes e similares,2,,,,,,,,,[{'job_industry_list': {'industry': 'Software Development'}}],['Human Resources']
Instituto Almai,ALMAI INSTITUTO DE NEURODESENVOLVIMENTO INFANTIL LTDA,40.689.989/0005-30,"600,000.00",100 mil – 1 milhão,Atividades de psicologia e psicanálise,425.00,201–500,"Santos, São Paulo",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-de-psicologia-manh%25C3%25A3-santos-12%252B-at-instituto-almai-4039841714,Padaria e confeitaria com predominância de revenda,1,Comércio varejista especializado de equipamentos de telefonia e comunicação,2,,,,,,,,,[{'job_industry_list': {'industry': 'Hospitals and Health Care'}}],['Health Care Provider']
Linea Alimentos,LINEA ALIMENTOS INDUSTRIA E COMERCIO S/A,05.207.076/0001-06,"21,766,690.00",10 – 100 milhões,Comércio atacadista de produtos alimentícios em geral,497.00,201–500,"Anápolis, Goiás",https://www.linkedin.com/jobs/view/estagi%25C3%25A1rio-a-marketing-comunica%25C3%25A7%25C3%25A3o-s%25C3%25A3o-paulo-at-linea-alimentos-4205706716,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,1,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,2,,,,,,,,,[{'job_industry_list': {'industry': 'Food and Beverage Services'}}],['Other']
Jânia Correia,JANIA A CORREIA,36.067.375/0001-16,"50,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,4.00,0–10,,https://www.linkedin.com/jobs/view/analista-de-rh-at-j%25C3%25A2nia-correia-4038417902,"Comércio a varejo de automóveis, camionetas e utilitários novos",1,Consultoria em tecnologia da informação,2,,,,,,,,,[{'job_industry_list': {'industry': 'Professional Training and Coaching'}}],['Human Resources']
Banco Bradesco,BANCO BRADESCO S.A.,60.746.948/0001-12,"87,100,000,000.00",Acima de 1 bilhão,"Bancos múltiplos, com carteira comercial","83,075.00",+10000,"Osasco, São Paulo",https://www.linkedin.com/jobs/view/analista-fp-a-an%25C3%25A1lise-de-mercado-at-banco-bradesco-4205703206,Outras atividades associativas profissionais,1,Atividades de profissionais da área de saúde não especificadas anteriormente,1,,,,,,,,,[{'job_industry_list': {'industry': 'Banking'}}],['Finance and Sales']
MJ Capacitações,MJ SERVICOS DE CAPACITACOES LTDA,15.561.835/0001-98,"10,000.00",Até 100 mil,********,106.00,51–200,"Fortaleza, Ceará",https://www.linkedin.com/jobs/view/est%25C3%25A1gio-em-psicologia-do-tr%25C3%25A2nsito-at-mj-capacita%25C3%25A7%25C3%25B5es-3884712677,Construção de edifícios,2,Comércio atacadista de suprimentos para informática,1,,,,,,,,,[{'job_industry_list': {'industry': 'Professional Training and Coaching'}}],['Education and Training']
Extracrill Tintas e Complementos,COLORE TINTAS E INDUSTRIA QUIMICA LTDA,12.987.485/0001-38,"88,000.00",Até 100 mil,"Fabricação de tintas, vernizes, esmaltes e lacas",28.00,11–50,"Duque de Caxias, Rio de Janeiro",https://www.linkedin.com/jobs/view/auxiliar-de-pessoal-ind%25C3%25BAstria-de-tintas-at-extracrill-tintas-e-complementos-4037050970,Serviços de assistência social sem alojamento,2,Edição de livros,1,,,,,,,,,[{'job_industry_list': {'industry': 'Chemical Manufacturing'}}],['Human Resources']
Foco no Comercial Consultoria,Foco On Consultoria Comercial LTDA,60.208.359/0001-80,"2,000.00",Até 100 mil,Promoção de vendas,5.00,0–10,,https://www.linkedin.com/jobs/view/analista-de-rh-jurer%25C3%25AA-internacional-florian%25C3%25B3polis-reaberta-em-23-04-at-foco-no-comercial-consultoria-4037051650,Comércio varejista de artigos de óptica,1,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,1,,,,,,,,,[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],"['Sales', 'Training']"
abler Vagas,ABLER SISTEMAS E PROGRAMAS DE COMPUTADORES LTDA,29.387.715/0001-20,"1,033,680.00",1 – 10 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,2.00,0–10,,https://www.linkedin.com/jobs/view/est%25C3%25A1gio-em-neuropsicopedagogia-at-abler-vagas-4205464044,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",1,Atividades de práticas integrativas e complementares em saúde humana,1,,,,,,,,,"[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Education and Training']
Sustentare Saneamento S/A,SUSTENTARE SANEAMENTO S/A,17.851.447/0001-77,"173,702,860.00",100 milhões – 1 bilhão,Coleta de resíduos não-perigosos,924.00,501–1000,"São Paulo, São Paulo",https://www.linkedin.com/jobs/view/4205462375,Consultoria em publicidade,1,Comércio atacadista de cosméticos e produtos de perfumaria,1,,,,,,,,,[{'job_industry_list': {'industry': 'Environmental Services'}}],[]
